time,x,y,z,qx,qy,qz,qw
1658330017.510008,0.47651635231028244,-0.021411660743792377,0.42355942356268356,0.4527163823925122,0.5338564384037922,0.5252468466325619,0.4839017776272418
1658330017.5186286,0.4767200953209043,-0.022132075068012784,0.4245319626496717,0.45276720017430383,0.5338000116900434,0.525188165139863,0.4839801660843711
1658330017.5314584,0.47689774268191,-0.022807952358940606,0.4255269779319654,0.45272772515755405,0.5337626480010219,0.5251226258078892,0.48412939420905926
1658330017.5392437,0.4770889147169372,-0.023482628167692515,0.42647704158443756,0.4527258947341134,0.5337421955302705,0.5250860750842329,0.4841932947701342
1658330017.5492096,0.4772867185299088,-0.024180047013687287,0.42740580881482615,0.45277777962755755,0.5337053545073105,0.5250312921628452,0.4842447925332578
1658330017.5590727,0.47746775459866,-0.024848714225617827,0.4283050136455548,0.45282755874957836,0.5336597244498351,0.5250037121258295,0.4842784351910811
1658330017.5686321,0.47766039554156203,-0.02560893418756549,0.42924622289893155,0.452921557007114,0.5335928107178612,0.5249432271676007,0.48432982955763626
1658330017.5806437,0.47785726044148846,-0.02633892812843619,0.4302198946758893,0.452955840823295,0.5335317694281488,0.524860677529659,0.48445446272899356
1658330017.5888925,0.47803502692549615,-0.02701767220333782,0.4311279799945235,0.4529534710017732,0.5335060662371072,0.5248052146722965,0.4845450619379148
1658330017.599463,0.47820821216220744,-0.027694043672298937,0.43206540560703904,0.45292814903748185,0.5334909581731401,0.5247602535378024,0.4846340533473958
1658330017.6087003,0.47839478825197657,-0.02839596019594101,0.4329848242850181,0.4529927875989417,0.5334530051029905,0.5247206650752263,0.48465828103204933
1658330017.6190681,0.4785816297763932,-0.029123821663463945,0.4339604015070964,0.45299595240350227,0.5334066957047692,0.5246843064904777,0.48474564733060743
1658330017.6293068,0.47874405899572325,-0.029821663320026136,0.43487198324718596,0.4530147748681263,0.5333468222785053,0.5245969430496411,0.4848884699181583
1658330017.6411302,0.478910402702257,-0.030557521906940707,0.4358189544226409,0.45304649671744646,0.5332906168657581,0.524498162243927,0.48502749156901515
1658330017.64973,0.4791023671488689,-0.031206832032281202,0.43670458155393443,0.4531107810535736,0.5332781391330126,0.5245220731665934,0.4849552981222814
